Episode Length,Total Reward
22,-0.07812650315463543
64,-0.03703999723074958
19,-0.08109499840065837
20,-0.08010499749798328
19,-0.08109499840065837
29,-0.07121749699581414
47,-0.053563996916636825
48,-0.05258799606235698
37,-0.06335149763617665
46,-0.054540497716516256
137,0.03227350581437349
29,-0.07121749699581414
21,-0.07911550404969603
19,-0.08109499840065837
88,-0.013957999006379396
19,-0.08109499840065837
9,-0.09102249937132001
75,-0.026424995274282992
8,-0.0920180001994595
44,-0.05649499932769686
15,-0.08506000193301588
75,-0.026424995274282992
52,-0.04868900013389066
28,-0.07220299786422402
20,-0.08010499749798328
18,-0.08208549930714071
23,-0.07713800226338208
9,-0.09102249937132001
41,-0.059430501773022115
22,-0.07812650315463543
11,-0.08903299772646278
54,-0.04674249846721068
18,-0.08208549930714071
49,-0.051612502662464976
69,-0.032207500480581075
50,-0.050637501815799624
20,-0.08010499749798328
42,-0.05845150095410645
4,-0.0960050035500899
7,-0.09301400103140622
16,-0.08406800113152713
19,-0.08109499840065837
11,-0.08903299772646278
21,-0.07911550404969603
23,-0.07713800226338208
32,-0.0682640018640086
68,-0.0331730013131164
22,-0.07812650315463543
20,-0.08010499749798328
26,-0.0741754996124655
20,-0.08010499749798328
37,-0.06335149763617665
35,-0.06531499931588769
52,-0.04868900013389066
27,-0.07318899873644114
37,-0.06335149763617665
88,-0.013957999006379396
38,-0.062370496802031994
24,-0.07615000137593597
108,0.00505700329085812
14,-0.08605250273831189
49,-0.051612502662464976
52,-0.04868900013389066
32,-0.0682640018640086
25,-0.07516250049229711
20,-0.08010499749798328
45,-0.055517498520202935
50,-0.050637501815799624
35,-0.06531499931588769
54,-0.04674249846721068
71,-0.0302779987687245
20,-0.08010499749798328
8,-0.0920180001994595
77,-0.024501501000486314
27,-0.07318899873644114
20,-0.08010499749798328
7,-0.09301400103140622
30,-0.07023250358179212
368,1.2340519637800753
69,-0.032207500480581075
21,-0.07911550404969603
5,-0.09500750270672143
28,-0.07220299786422402
44,-0.05649499932769686
30,-0.07023250358179212
54,-0.04674249846721068
8,-0.0920180001994595
53,-0.047715499298647046
8,-0.0920180001994595
61,-0.039945499796886
32,-0.0682640018640086
128,0.023872005520388484
75,-0.026424995274282992
21,-0.07911550404969603
410,0.2678725167061202
22,-0.07812650315463543
23,-0.07713800226338208
53,-0.047715499298647046
20,-0.08010499749798328
97,-0.005376498738769442
27,-0.07318899873644114
22,-0.07812650315463543
46,-0.054540497716516256
20,-0.08010499749798328
15,-0.08506000193301588
329,0.20185751415556297
19,-0.08109499840065837
21,-0.07911550404969603
21,-0.07911550404969603
14,-0.08605250273831189
24,-0.07615000137593597
24,-0.07615000137593597
193,0.08363950910279527
20,-0.08010499749798328
35,-0.06531499931588769
26,-0.0741754996124655
135,0.030410004081204534
12,-0.08803900436032563
8,-0.0920180001994595
19,-0.08109499840065837
16,-0.08406800113152713
19,-0.08109499840065837
17,-0.0830765002174303
22,-0.07812650315463543
50,-0.050637501815799624
58,-0.04285550239728764
31,-0.06924800272099674
47,-0.053563996916636825
15,-0.08506000193301588
181,0.07276450638892129
20,-0.08010499749798328
21,-0.07911550404969603
35,-0.06531499931588769
36,-0.06433299847412854
32,-0.0682640018640086
25,-0.07516250049229711
6,-0.0940105018671602
30,-0.07023250358179212
65,-0.036072496382985264
174,0.06638750771526247
44,-0.05649499932769686
84,-0.017784995085094124
21,-0.07911550404969603
29,-0.07121749699581414
15,-0.08506000193301588
29,-0.07121749699581414
15,-0.08506000193301588
27,-0.07318899873644114
17,-0.0830765002174303
43,-0.05747300013899803
27,-0.07318899873644114
17,-0.0830765002174303
327,11.300185887201224
52,-0.04868900013389066
61,-0.039945499796886
23,-0.07713800226338208
21,-0.07911550404969603
20,-0.08010499749798328
21,-0.07911550404969603
24,-0.07615000137593597
8,-0.0920180001994595
101,-0.0015754953492432833
2,-0.09800149779766798
42,-0.05845150095410645
57,-0.04382649582112208
41,-0.059430501773022115
17,-0.0830765002174303
7,-0.09301400103140622
4,-0.0960050035500899
18,-0.08208549930714071
14,-0.08605250273831189
20,-0.08010499749798328
24,-0.07615000137593597
24,-0.07615000137593597
49,-0.051612502662464976
16,-0.08406800113152713
23,-0.07713800226338208
22,-0.07812650315463543
33,-0.06728050101082772
43,-0.05747300013899803
30,-0.07023250358179212
31,-0.06924800272099674
14,-0.186052504228428
22,-0.07812650315463543
32,-0.0682640018640086
31,-0.06924800272099674
10,-0.09002749854698777
61,-0.039945499796886
63,-0.03800799808232114
94,-0.008232501277234405
27,-0.07318899873644114
14,-0.08605250273831189
18,-0.08208549930714071
8,-0.0920180001994595
102,-0.0006264944677241147
238,0.12377951055532321
25,-0.07516250049229711
97,-0.005376498738769442
136,0.03134200494969264
20,-0.08010499749798328
26,-0.0741754996124655
32,-0.0682640018640086
18,-0.08208549930714071
38,-0.062370496802031994
14,-0.08605250273831189
34,-0.1662975016515702
12,-0.08803900436032563
22,-0.07812650315463543
25,-0.07516250049229711
67,-0.034139002149458975
11,-0.08903299772646278
25,-0.07516250049229711
27,-0.07318899873644114
3,-0.09700300439726561
22,-0.07812650315463543
49,-0.051612502662464976
32,-0.0682640018640086
15,-0.1850599959725514
29,-0.07121749699581414
21,-0.07911550404969603
23,-0.07713800226338208
68,-0.0331730013131164
14,-0.08605250273831189
17,-0.0830765002174303
110,0.006947504996787757
31,-0.06924800272099674
18,-0.08208549930714071
47,-0.053563996916636825
73,-0.028350497013889253
107,0.004111002432182431
14,-0.08605250273831189
15,-0.08506000193301588
58,-0.04285550239728764
4,-0.0960050035500899
53,-0.047715499298647046
36,-0.06433299847412854
217,0.1051735074725002
36,-0.06433299847412854
15,-0.08506000193301588
20,-0.08010499749798328
49,-0.051612502662464976
16,-0.08406800113152713
40,-0.06041000259574503
30,-0.07023250358179212
23,-0.07713800226338208
32,-0.0682640018640086
21,-0.07911550404969603
31,-0.06924800272099674
39,-0.061390003422275186
21,-0.07911550404969603
27,-0.07318899873644114
48,-0.05258799606235698
26,-0.0741754996124655
53,-0.047715499298647046
27,-0.07318899873644114
24,-0.07615000137593597
27,-0.07318899873644114
40,-0.06041000259574503
59,-0.041885001526679844
20,-0.08010499749798328
61,-0.039945499796886
31,-0.06924800272099674
208,0.09713200712576509
30,-0.07023250358179212
39,-0.061390003422275186
18,-0.08208549930714071
18,-0.08208549930714071
26,-0.0741754996124655
30,-0.07023250358179212
25,-0.07516250049229711
18,-0.08208549930714071
60,-0.0409150006598793
19,-0.08109499840065837
44,-0.05649499932769686
31,-0.06924800272099674
53,-0.047715499298647046
23,-0.07713800226338208
19,-0.08109499840065837
23,-0.07713800226338208
15,-0.08506000193301588
25,-0.07516250049229711
123,0.01918700127862394
19,-0.08109499840065837
22,-0.07812650315463543
29,-0.07121749699581414
47,-0.053563996916636825
87,0.9850859495345503
31,-0.06924800272099674
37,-0.06335149763617665
19,-0.08109499840065837
45,-0.055517498520202935
21,-0.07911550404969603
310,0.18589751282706857
30,-0.07023250358179212
55,-0.0457699975813739
22,-0.07812650315463543
15,-0.08506000193301588
36,-0.06433299847412854
126,0.021999503835104406
20,-0.08010499749798328
21,-0.07911550404969603
21,-0.07911550404969603
14,-0.08605250273831189
112,0.008836006687488407
123,0.01918700127862394
34,-0.06629750016145408
97,-0.005376498738769442
18,-0.08208549930714071
19,-0.08109499840065837
